City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Jardim,BR,-21.4803,-56.1381,80.98,27,0,3.38,clear sky
277,Nisia Floresta,BR,-6.0911,-35.2086,82.78,95,100,6.8,overcast clouds
278,Rota,ES,36.6224,-6.3586,91.49,78,0,10.36,clear sky
279,Maria La Baja,CO,9.9832,-75.3016,90.55,62,54,2.1,broken clouds
280,Saravan,AM,39.7196,45.6483,65.93,71,86,7.56,overcast clouds
281,Aloleng,PH,16.1307,119.7824,80.58,84,92,11.72,overcast clouds
282,Bengkulu,ID,-3.8004,102.2655,76.5,89,100,5.5,overcast clouds
283,Oranjestad,AW,12.524,-70.027,87.75,55,20,16.11,few clouds
284,Shinpokh,PK,34.3292,71.1782,86.34,70,25,4.27,scattered clouds
285,Harper,LR,4.375,-7.7169,75.4,77,25,9.55,scattered clouds
286,Santiago,CL,-33.4569,-70.6483,63.0,57,100,5.75,haze
287,Kirakira,SB,-10.4544,161.9205,78.46,81,19,6.93,few clouds
288,Tual,ID,-5.6667,132.75,79.09,86,73,19.24,broken clouds
289,Kimbe,PG,-5.5502,150.1429,74.61,90,94,4.29,overcast clouds
290,Qena,EG,26.1615,32.7183,92.34,16,1,9.26,clear sky
291,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,61,69,16.75,broken clouds
292,Niceville,US,30.5169,-86.4822,93.11,68,75,13.0,broken clouds
293,Yamada,JP,39.4667,141.95,72.0,81,0,4.34,clear sky
294,Mugango,TZ,-1.6833,33.7,71.78,68,30,2.37,light rain
295,Maningrida,AU,-12.0667,134.2667,64.4,89,88,8.08,overcast clouds
296,Nicoya,CR,10.1483,-85.452,85.03,73,96,4.32,overcast clouds
297,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,12.66,scattered clouds
298,Salalah,OM,17.0151,54.0924,77.09,94,75,4.61,broken clouds
299,Maunabo,PR,18.0072,-65.8993,89.65,79,100,13.96,overcast clouds
300,Naze,JP,28.3667,129.4833,81.52,86,100,24.11,light rain
301,Changying,CN,52.8733,123.3213,59.31,91,99,4.83,overcast clouds
302,Jalu,LY,29.0331,21.5482,89.89,16,0,4.92,clear sky
303,Olinda,BR,-8.0089,-34.8553,74.93,88,100,4.61,mist
304,Rocha,UY,-34.4833,-54.3333,60.01,61,0,4.47,clear sky
305,Kumta,IN,14.4167,74.4,80.19,92,41,6.85,scattered clouds
306,Santiago Del Estero,AR,-27.7951,-64.2615,77.99,20,2,16.08,clear sky
307,Dayong,CN,25.0209,118.2898,76.41,88,17,2.89,few clouds
308,East London,ZA,-33.0153,27.9116,56.34,62,0,14.97,clear sky
309,Sulangan,PH,11.1373,123.7228,83.34,76,100,6.53,overcast clouds
310,Auki,SB,-8.7676,160.7034,76.15,88,70,3.83,broken clouds
311,Adrar,MR,20.5022,-10.0711,94.98,31,53,10.04,broken clouds
312,Bonito,BR,-21.1211,-56.4819,80.85,27,0,4.63,clear sky
313,Katobu,ID,-4.9408,122.5276,73.76,92,98,3.53,light rain
314,Kidal,ML,18.4411,1.4078,83.98,45,100,20.67,light rain
315,Daru,PG,-9.0763,143.2092,76.05,93,100,17.52,overcast clouds
316,Lakes Entrance,AU,-37.8811,147.981,38.16,66,96,7.65,overcast clouds
317,Macusani,PE,-14.0833,-70.4333,55.47,16,76,3.62,broken clouds
318,Port Lincoln,AU,-34.7333,135.8667,54.64,81,90,14.79,overcast clouds
319,Byron Bay,AU,-28.65,153.6167,51.94,74,100,2.71,overcast clouds
320,Havelock,US,34.8791,-76.9013,93.15,84,100,3.0,overcast clouds
321,Carutapera,BR,-1.195,-46.02,84.52,67,30,8.86,scattered clouds
322,Sawtell,AU,-30.3833,153.1,52.18,100,100,0.0,overcast clouds
323,Birin,NP,26.8865,88.0718,64.62,96,100,0.4,overcast clouds
324,Charters Towers,AU,-20.1,146.2667,55.31,94,100,7.9,overcast clouds
325,Jijiga,ET,9.35,42.8,66.79,67,73,18.34,broken clouds
326,Syracuse,IT,37.0881,15.2792,87.39,71,0,5.86,clear sky
327,Nemuro,JP,43.3236,145.575,65.08,95,4,11.32,clear sky
328,Caravelas,BR,-17.7125,-39.2481,77.34,73,0,5.37,clear sky
329,Katherine,AU,-14.4667,132.2667,57.52,72,7,3.44,clear sky
330,Nouadhibou,MR,20.931,-17.0347,73.38,78,15,20.71,sand
331,Bandarbeyla,SO,9.4942,50.8122,75.96,84,5,29.84,clear sky
332,Lao Cai,VN,22.4833,103.95,75.85,98,100,2.04,overcast clouds
333,Sola,VU,-13.8833,167.55,80.11,73,96,11.27,overcast clouds
334,Seoul,KR,37.5683,126.9778,81.97,80,0,4.61,clear sky
335,Ingham,US,42.6,-84.3833,79.65,55,75,6.91,broken clouds
336,Houma,US,29.5958,-90.7195,91.99,68,0,5.75,clear sky
337,Kiunga,PG,-6.1219,141.2906,73.78,99,100,1.45,overcast clouds
338,Luau,AO,-10.7073,22.2247,69.93,27,0,3.51,clear sky
339,Begoro,GH,6.3871,-0.3774,70.83,83,89,5.41,overcast clouds
340,Kununurra,AU,-15.7667,128.7333,53.58,87,30,1.14,scattered clouds
341,Hervey Bay,AU,-25.2986,152.8535,64.31,60,99,16.35,overcast clouds
342,Mollendo,PE,-17.0231,-72.0147,63.34,70,90,7.47,overcast clouds
343,Biak,ID,-0.9131,122.8766,74.46,89,76,4.88,broken clouds
344,Damara,CF,4.9608,18.7035,72.1,93,100,0.87,overcast clouds
345,Shiloh,US,38.5614,-89.8973,82.67,56,40,4.61,scattered clouds
346,Ilhabela,BR,-23.7781,-45.3581,66.99,63,28,7.09,scattered clouds
347,Luanda,AO,-8.8368,13.2343,73.4,73,0,11.5,clear sky
348,Bondoukou,CI,8.0333,-2.8,75.88,73,97,5.37,overcast clouds
349,Karratha,AU,-20.7377,116.8463,71.11,57,24,4.85,few clouds
350,Aswan,EG,24.0934,32.907,99.7,15,0,6.91,clear sky
