City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Chongqing,CN,89.92,clear sky,29.5628,106.5528,Somerset Jiefangbei Chongqing Hotel
265,Buala,SB,79.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
269,Broome,US,82.02,broken clouds,42.2506,-75.833,Chenango Valley State Park
270,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
272,Westport,US,88.29,broken clouds,41.1415,-73.3579,The Westport Inn
273,Pacora,PA,87.78,scattered clouds,9.0833,-79.2833,Residencia Los Años Dorados
275,Camopi,GF,80.98,moderate rain,3.1655,-52.3158,La pousada
276,Jardim,BR,80.98,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
277,Nisia Floresta,BR,82.78,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
281,Aloleng,PH,80.58,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
282,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
283,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
285,Harper,LR,75.4,scattered clouds,4.375,-7.7169,Screensaver
287,Kirakira,SB,78.46,few clouds,-10.4544,161.9205,SanBiz Lodge
288,Tual,ID,79.09,broken clouds,-5.6667,132.75,Grand Vilia Hotel
296,Nicoya,CR,85.03,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
297,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
298,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Maunabo,PR,89.65,overcast clouds,18.0072,-65.8993,Parador Maunacaribe
300,Naze,JP,81.52,light rain,28.3667,129.4833,Shishime Hotel
302,Jalu,LY,89.89,clear sky,29.0331,21.5482,صاحبة الفخامة
305,Kumta,IN,80.19,scattered clouds,14.4167,74.4,Hotel Vaibhav Palace
306,Santiago Del Estero,AR,77.99,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
307,Dayong,CN,76.41,few clouds,25.0209,118.2898,Haiyue Express Hotel
309,Sulangan,PH,83.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
310,Auki,SB,76.15,broken clouds,-8.7676,160.7034,Auki Motel
312,Bonito,BR,80.85,clear sky,-21.1211,-56.4819,Marruá Hotel
315,Daru,PG,76.05,overcast clouds,-9.0763,143.2092,Daru Lodge
321,Carutapera,BR,84.52,scattered clouds,-1.195,-46.02,Lidera
326,Syracuse,IT,87.39,clear sky,37.0881,15.2792,Hotel Posta
328,Caravelas,BR,77.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
331,Bandarbeyla,SO,75.96,clear sky,9.4942,50.8122,JABIR HOTEL
332,Lao Cai,VN,75.85,overcast clouds,22.4833,103.95,Legend Hotel
333,Sola,VU,80.11,overcast clouds,-13.8833,167.55,Leumerus Bungalows
334,Seoul,KR,81.97,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
335,Ingham,US,79.65,broken clouds,42.6,-84.3833,Sunset Mobile Home Park
345,Shiloh,US,82.67,scattered clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
348,Bondoukou,CI,75.88,overcast clouds,8.0333,-2.8,Prestige Hotel
351,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
353,Takoradi,GH,75.22,overcast clouds,4.8845,-1.7554,Raybow International Hotel
354,Sao Miguel,BR,79.57,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
355,Hounde,BF,79.48,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
356,Misratah,LY,83.08,clear sky,32.3754,15.0925,Almasa Hotel
361,Kaliua,TZ,75.79,overcast clouds,-5.0606,31.7936,Millennium Complex
362,Mlonggo,ID,76.69,broken clouds,-6.5333,110.7,Asia Metal Art
368,Qalyub,EG,86.79,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
369,Palu,ID,75.96,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
370,Yatou,CN,75.09,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
371,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
376,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
377,Ormara,PK,82.26,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
378,Anori,BR,89.58,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
381,Kintampo,GH,76.21,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
382,Iranshahr,IR,88.14,broken clouds,27.2025,60.6848,نیک سرشت
384,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
389,Bacolod,PH,78.04,overcast clouds,10.6667,122.95,Planta Hotel & Residences
390,Nhamunda,BR,80.85,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
392,Matara,LK,77.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
393,Biltine,TD,85.32,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
397,Saint-Francois,FR,83.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
399,Damietta,EG,82.29,clear sky,31.4165,31.8133,SULIMAN INN
401,Contai,IN,85.14,overcast clouds,21.7786,87.7536,PATHFINDER
402,Kita,ML,76.1,light rain,13.0349,-9.4895,Hôtel Chat Rouge
403,Bat Khela,PK,77.86,scattered clouds,34.6167,71.9714,Electric and pipe fitting
404,Maragogi,BR,77.94,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
408,Carauari,BR,89.44,overcast clouds,-4.8828,-66.8958,Hotel Fellip
411,La Troncal,EC,86.74,broken clouds,-2.4,-79.3333,TRONCAL INN
415,Altamira,BR,83.53,overcast clouds,-3.2033,-52.2064,Requinte Hotel
418,Hamilton,US,84.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
420,Manokwari,ID,79.14,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
422,Haimen,CN,82.29,clear sky,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
423,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
425,Chapadinha,BR,84.38,moderate rain,-3.7417,-43.3603,Chapadinhense Hotel
429,Pemangkat,ID,77.85,overcast clouds,1.1667,108.9667,Ramah Kost KITA
431,Condado,CU,87.85,scattered clouds,21.8767,-79.8403,Casa Guachinango
437,Akyab,MM,83.41,overcast clouds,20.15,92.9,Hotel Memory
442,Vila,PT,80.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
443,Tamale,GH,80.22,light rain,9.4008,-0.8393,Tap Hotel
445,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
451,Kaseda,JP,80.74,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
456,Hongjiang,CN,76.15,broken clouds,27.11,109.9956,洪江大酒店
459,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
462,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
463,Wanlaweyn,SO,75.36,overcast clouds,2.6185,44.8938,GAASHAAN HOME
464,Horsham,GB,77.02,few clouds,51.064,-0.3272,Springfields Hotel
468,Tuyen Quang,VN,77.56,scattered clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
470,Bambanglipuro,ID,75.33,overcast clouds,-7.95,110.2833,Puri Brata
472,Tabou,CI,75.52,few clouds,4.423,-7.3528,hotêl doufoulougou
473,Dhidhdhoo,MV,81.5,light rain,6.8833,73.1,Dhidhoo beach
476,Basco,PH,84.27,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
479,Yabrud,SY,76.28,clear sky,33.9674,36.6574,صالة افراح الاندلس
480,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
481,Fureidis,IL,79.16,clear sky,32.5986,34.9558,Elma Arts Complex Luxury Hotel -אלמא מלון ומרכז אמנויות
482,Urucara,BR,80.11,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
484,Ibra,OM,85.82,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
488,Lingao,CN,80.62,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
491,Muisne,EC,76.06,overcast clouds,0.6,-80.0333,Quinta Samay
