City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Paita,PE,2022-07-21 18:38:29,-5.0892,-81.1144,68.92,68,9,14.83
162,Zadar,HR,2022-07-21 18:42:41,44.1197,15.2422,84.81,32,0,8.05
163,La Rochelle,FR,2022-07-21 18:42:42,46.1667,-1.15,69.87,73,0,14.97
164,Conakry,GN,2022-07-21 18:42:42,9.538,-13.6773,78.04,86,87,13.04
165,Sambava,MG,2022-07-21 18:36:48,-14.2667,50.1667,69.15,86,81,12.19
166,Necochea,AR,2022-07-21 18:33:46,-38.5473,-58.7368,51.22,38,68,7.43
167,Sept-Iles,CA,2022-07-21 18:42:43,50.2001,-66.3821,72.12,63,75,14.97
168,Muros,ES,2022-07-21 18:42:43,42.7762,-9.0603,77.68,75,86,15.21
169,Dakar,SN,2022-07-21 18:38:19,14.6937,-17.4441,86.13,74,75,6.91
170,Serebryansk,KZ,2022-07-21 18:42:43,49.6925,83.2892,58.12,95,100,3.8
171,Maiduguri,NG,2022-07-21 18:42:43,11.8464,13.1603,83.79,53,95,5.19
172,Tenkodogo,BF,2022-07-21 18:42:44,11.78,-0.3697,84.83,54,100,3.87
173,Concepcion,CL,2022-07-21 18:38:09,-36.827,-73.0498,55.2,88,75,4.61
174,Dingle,PH,2022-07-21 18:42:44,10.9995,122.6711,77.4,91,100,5.86
175,Tupiza,BO,2022-07-21 18:42:44,-21.45,-65.7167,73.72,9,79,19.08
176,Baijiantan,CN,2022-07-21 18:42:45,45.6333,85.1833,83.07,20,0,6.67
177,Ponta Do Sol,PT,2022-07-21 18:37:08,32.6667,-17.1,77.72,77,3,6.2
178,Sarkand,KZ,2022-07-21 18:42:45,45.41,79.9186,74.7,31,0,8.39
179,Hendersonville,US,2022-07-21 18:37:59,36.3048,-86.62,95.5,54,0,1.99
180,Bambous Virieux,MU,2022-07-21 18:36:28,-20.3428,57.7575,70.05,78,75,13.8
181,Aripuana,BR,2022-07-21 18:37:23,-9.1667,-60.6333,97.05,25,15,0.76
182,Mogwase,ZA,2022-07-21 18:42:45,-25.185,27.2665,63.39,44,89,5.08
183,Brae,GB,2022-07-21 18:42:46,60.3964,-1.353,52.32,80,10,11.9
184,Nioki,CD,2022-07-21 18:42:46,-2.7167,17.6833,82.2,51,48,2.82
185,Martil,MA,2022-07-21 18:42:46,35.6166,-5.2752,80.56,69,75,9.22
186,Magnor,SE,2022-07-21 18:42:47,59.9511,12.1996,72.91,61,100,3.87
187,Svetlogorsk,BY,2022-07-21 18:42:47,52.6333,29.7333,64.22,88,98,7.43
188,Clyde River,CA,2022-07-21 18:42:47,70.4692,-68.5914,41.23,93,100,17.27
189,Abu Kamal,SY,2022-07-21 18:42:48,34.4506,40.9171,92.98,16,0,10.71
190,Nouadhibou,MR,2022-07-21 18:37:10,20.931,-17.0347,75.18,83,61,13.8
191,Vokhtoga,RU,2022-07-21 18:42:48,58.8147,41.0461,57.83,80,42,4.16
192,Meulaboh,ID,2022-07-21 18:37:01,4.1363,96.1285,78.13,83,100,4.7
193,Sur,OM,2022-07-21 18:42:48,22.5667,59.5289,87.19,71,93,12.66
194,Pokaran,IN,2022-07-21 18:37:16,26.9167,71.9167,89.1,60,100,17.31
195,Menzelinsk,RU,2022-07-21 18:42:49,55.7271,53.1026,59.32,76,33,2.19
196,Balykshi,KZ,2022-07-21 18:42:49,47.0667,51.8667,77.0,65,40,4.47
197,Marsa Matruh,EG,2022-07-21 18:42:49,31.3525,27.2453,79.0,69,0,9.22
198,Vestmannaeyjar,IS,2022-07-21 18:42:50,63.4427,-20.2734,50.99,100,100,6.91
199,Verkhnyaya Inta,RU,2022-07-21 18:42:50,65.9811,60.3094,47.71,63,0,6.98
200,San Joaquin,US,2022-07-21 18:42:50,37.9333,-121.3011,91.36,30,0,4.61
201,Chuy,UY,2022-07-21 18:36:24,-33.6971,-53.4616,57.33,85,98,7.58
202,Beloha,MG,2022-07-21 18:37:16,-25.1667,45.05,64.51,86,5,5.28
203,Riachao Das Neves,BR,2022-07-21 18:42:50,-11.7461,-44.91,88.27,25,36,8.3
204,Front Royal,US,2022-07-21 18:42:51,38.9182,-78.1944,93.04,50,75,5.75
205,Medyn,RU,2022-07-21 18:42:51,54.9692,35.8586,58.39,84,6,8.95
206,Chapais,CA,2022-07-21 18:42:51,49.7834,-74.8492,69.58,88,100,14.18
207,Marsh Harbour,BS,2022-07-21 18:35:31,26.5412,-77.0636,83.7,70,7,11.7
208,San Juan,AR,2022-07-21 18:42:52,-31.5375,-68.5364,65.59,17,0,12.64
209,Ballina,AU,2022-07-21 18:42:52,-28.8667,153.5667,59.02,99,100,19.01
210,Karakol,KG,2022-07-21 18:42:52,42.4907,78.3936,63.05,36,0,3.87
211,Aksu,CN,2022-07-21 18:36:40,41.1231,80.2644,80.83,25,0,6.22
212,Ocho Rios,JM,2022-07-21 18:42:53,18.4025,-77.1048,86.81,71,61,12.73
213,Iraquara,BR,2022-07-21 18:42:53,-12.2486,-41.6194,74.91,44,6,12.8
214,Taywarah,AF,2022-07-21 18:42:53,33.35,64.4167,67.6,20,0,2.89
215,Naduvattam,IN,2022-07-21 18:42:54,11.4833,76.5667,57.06,96,100,1.36
216,Basoko,CD,2022-07-21 18:42:54,1.2391,23.616,74.14,87,34,3.49
217,Turbat,PK,2022-07-21 18:42:54,26.0023,63.044,84.29,74,97,8.19
218,Cabedelo,BR,2022-07-21 18:38:11,-6.9811,-34.8339,75.87,83,100,11.05
219,Saryozek,KZ,2022-07-21 18:42:55,44.3583,77.9753,72.99,30,0,3.0
220,Abnub,EG,2022-07-21 18:38:26,27.2696,31.1511,91.62,19,0,8.97
221,Sindgi,IN,2022-07-21 18:42:55,16.9167,76.2333,78.35,76,100,13.8
222,Cairo,EG,2022-07-21 18:42:46,30.0626,31.2497,86.41,51,20,9.22
223,Filadelfia,US,2022-07-21 18:39:12,39.9523,-75.1638,97.79,52,75,17.27
224,Orikum,AL,2022-07-21 18:42:55,40.3253,19.4714,78.53,54,0,9.46
225,Carbonia,IT,2022-07-21 18:42:56,39.1672,8.5222,92.35,58,0,5.7
226,Chardara,KZ,2022-07-21 18:41:25,41.2547,67.9692,86.09,19,0,11.72
227,Goba,ET,2022-07-21 18:42:56,7.0167,39.9833,51.84,94,87,3.09
228,Svobodnyy,RU,2022-07-21 18:42:56,51.4,128.1333,61.27,93,100,6.24
229,Sovetskaya,RU,2022-07-21 18:42:56,44.7769,41.1722,62.76,81,1,7.58
230,Lubango,AO,2022-07-21 18:40:55,-14.9172,13.4925,58.17,35,1,2.93
231,Saint-Pierre,RE,2022-07-21 18:37:37,-21.3393,55.4781,64.29,77,0,6.91
232,Sao Filipe,CV,2022-07-21 18:37:49,14.8961,-24.4956,75.72,85,93,7.9
233,Oussouye,SN,2022-07-21 18:42:57,12.485,-16.5469,78.98,87,100,3.76
234,Bonthe,SL,2022-07-21 18:37:59,7.5264,-12.505,77.4,80,100,13.47
235,Makat,KZ,2022-07-21 18:42:57,47.6469,53.3463,84.56,33,100,5.75
